Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45, 45, 1, 1, 32, 128, 0, 9001294, 9001294, 5279431, 1677642, 3382976, 58.652, 18.638, 37.583,0,0,0,0,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 48.000, 43.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.390625, 0, 0, 1,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 47.000, 44.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.488281, 0, 1, 2,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 46.000, 45.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.537109, 0, 2, 3,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45.000, 46.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.537109, 0, 3, 4,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45.000, 46.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -0.537109, 0, 4, 5,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45.000, 47.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -1.635742, 0, 5, 6,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45.000, 48.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -2.734375, 0, 6, 7,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 45.000, 49.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -3.833008, 0, 7, 8,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 44.000, 49.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -2.636719, 0, 8, 9,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 44.000, 50.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -3.710938, 0, 9, 10,
 Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 43.000, 51.000, 1, 1, 32, 128, 0, 0, 0, 0, 0, 0, 0.000, 0.000, 0.000, -3.540039, 0, 10, 11,
