Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 37, 37, 1, 1, 32, 128, 0, 252201, 252201, 246801, 61920, 0, 97.859, 24.552, 0.000,0,0,0,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 18, 10, 1, 1, 32, 128, 0, 250096, 250096, 247285, 118800, 0, 98.876, 47.502, 0.000,0.834652,0,0,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 18, 10, 1, 1, 32, 128, 0, 250096, 250096, 247285, 118800, 0, 98.876, 47.502, 0.000,0.834652,0,1,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 19, 10, 1, 1, 32, 128, 0, 250328, 250328, 247287, 118800, 0, 98.785, 47.458, 0.000,0.742662,0,2,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 18, 10, 1, 1, 32, 128, 0, 250096, 250096, 247285, 118800, 0, 98.876, 47.502, 0.000,0.834652,0,3,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 17, 10, 1, 1, 32, 128, 0, 249682, 249682, 246784, 118800, 0, 98.839, 47.581, 0.000,0.998807,0,4,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 16, 10, 1, 1, 32, 128, 0, 250108, 250108, 247285, 118800, 0, 98.871, 47.499, 0.000,0.829894,0,5,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 17, 10, 1, 1, 32, 128, 0, 249682, 249682, 246784, 118800, 0, 98.839, 47.581, 0.000,0.998807,0,6,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 16, 9, 1, 1, 32, 128, 0, 251451, 251451, 249219, 118800, 0, 99.112, 47.246, 0.000,0.297382,0,7,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 15, 9, 1, 1, 32, 128, 0, 251860, 251860, 249547, 118800, 0, 99.082, 47.169, 0.000,0.135210,0,8,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 14, 9, 1, 1, 32, 128, 0, 251938, 251938, 249544, 118800, 0, 99.050, 47.154, 0.000,0.104282,0,9,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 13, 8, 1, 1, 32, 128, 0, 249168, 249168, 247026, 130176, 0, 99.140, 52.244, 0.000,1.202612,0,10,0,
